,D_train1000
4,1.242958549499512
8,1.1222313156127932
16,1.0096483306884765
32,0.8464185485839844
64,0.781904197692871
128,0.7574853668212891
256,0.7523042945861815
512,0.7528722496032716
1024,0.7527734680175782
2048,0.7528514671325685
4096,0.7627867279052735
8192,0.7904381332397461
